month_date,account_id,account_name,customer_id,customer_name,brand_name,impressions,clicks,platform_spend,actual_spend,ctr,cpm,cpc,in_app_total_payment,payment_24h,revenue_24h,roi_24h,mixed_revenue_24h,mixed_roi_24h,plays,play_cost,play_rate
2026-07-01,MJ-0482,漫剧品牌G-账号-0482,CUST-001,客户主体A,漫剧品牌G,3859694,175555,11382.8634,11382.75,0.04548417568853904,2.9491621356511684,0.06483930050411552,0.0,0.0,11520.18,1.0120634496940375,11520.16,1.0120616926668908,0,0.0,0.0
2026-07-01,MJ-0250,漫剧品牌C-账号-0250,CUST-001,客户主体A,漫剧品牌C,1056097,17774,9338.76402,9338.66,0.016829893466225168,8.842714277192341,0.5254171272645437,0.0,0.0,9598.36,1.0277976806613858,9598.36,1.0277976806613858,210168,22.504905311870168,0.1990044475081361
2026-07-01,MJ-0128,漫剧品牌C-账号-0128,CUST-001,客户主体A,漫剧品牌C,489979,13837,5128.31276,5128.2,0.028239985795309595,10.466392967861887,0.37062316687143165,0.0,0.0,5338.46,1.0409778517486519,5338.46,1.0409778517486519,119959,23.39151405422473,0.2448247782047802
2026-07-01,MJ-0310,漫剧品牌F-账号-0310,CUST-001,客户主体A,漫剧品牌F,1734736,49311,4083.21579,4083.1,0.028425650934782005,2.3537966526318703,0.0828053738516761,0.0,0.0,4286.88,1.0498783851930589,4286.88,1.0498783851930589,0,0.0,0.0
2026-07-01,MJ-0113,漫剧品牌C-账号-0113,CUST-001,客户主体A,漫剧品牌C,398563,4561,4053.70836,4053.58,0.011443611173139504,10.170809533248194,0.8887762245121684,0.0,0.0,4075.7,1.005425067135318,4075.7,1.005425067135318,91345,22.5336881412949,0.22918585016672396
2026-07-01,MJ-0321,漫剧品牌F-账号-0321,CUST-001,客户主体A,漫剧品牌F,1826273,52402,4046.29215,4046.06,0.028693410021393296,2.2156009260389875,0.07721636865005153,0.0,0.0,4111.24,1.0160512013449152,4111.24,1.0160512013449152,0,0.0,0.0
2026-07-01,MJ-0204,漫剧品牌C-账号-0204,CUST-001,客户主体A,漫剧品牌C,428357,6407,3749.73149,3749.6,0.014957150227497157,8.753753271220035,0.5852554221944748,0.0,0.0,3843.75,1.0250733979888251,3843.75,1.0250733979888251,84538,22.54508095458323,0.19735407615610343
2026-07-01,MJ-0304,漫剧品牌B-账号-0304,CUST-001,客户主体A,漫剧品牌B,432422,12099,3520.89819,3520.77,0.027979612508151758,8.142273496723108,0.2910073716836102,910.97,910.97,2406.2,0.6834051625900606,3317.17,0.9421374379473325,89883,25.528429153471205,0.20785945210928214
2026-07-01,MJ-0114,漫剧品牌C-账号-0114,CUST-001,客户主体A,漫剧品牌C,370273,4471,3378.69299,3378.56,0.012074874484501976,9.124870001323348,0.7556906709908298,0.0,0.0,3523.38,1.0428233670322322,3523.38,1.0428233670322322,71984,21.305279944952915,0.1944079098394968
2026-07-01,MJ-0521,漫剧品牌D-账号-0521,CUST-001,客户主体A,漫剧品牌D,335083,8548,3151.1739,3151.07,0.02551009749823178,9.404159268002257,0.3686445835283107,0.0,0.0,3216.64,1.0207751466842245,3216.64,1.0207751466842245,72906,23.13613983664945,0.2175759438706231
2026-07-01,MJ-0059,漫剧品牌D-账号-0059,CUST-001,客户主体A,漫剧品牌D,941833,44997,2821.76099,2821.66,0.04777598576393055,2.9960311329078513,0.06270998044314066,0.0,0.0,2876.44,1.0193776192221013,2876.44,1.0193776192221013,0,0.0,0.0
2026-07-01,MJ-0115,漫剧品牌C-账号-0115,CUST-001,客户主体A,漫剧品牌C,263566,3495,2714.27644,2714.15,0.013260435716291175,10.298279899531806,0.7766170071530758,0.0,0.0,2891.0,1.0651089024668394,2891.0,1.0651089024668394,50651,18.660958498390826,0.1921757738099755
2026-07-01,MJ-0456,漫剧品牌G-账号-0456,CUST-001,客户主体A,漫剧品牌G,232456,9660,2639.99718,2639.9,0.041556251505661286,11.356975857796744,0.27329163354037267,0.0,0.0,2754.66,1.0434329327579055,2754.66,1.0434329327579055,54048,20.472749141345673,0.23250851774099185
2026-07-01,MJ-0479,漫剧品牌C-账号-0479,CUST-001,客户主体A,漫剧品牌C,277398,7300,2611.22919,2611.1,0.0263159792067715,9.413294940843121,0.3577026287671233,0.0,0.0,2762.13,1.0577891862491013,2762.13,1.0577891862491013,64470,24.68952179567202,0.23240975061103541
2026-07-01,MJ-0102,漫剧品牌C-账号-0102,CUST-001,客户主体A,漫剧品牌C,225451,3777,2566.20095,2566.09,0.016753086036433638,11.382521922723784,0.6794283690759862,0.0,0.0,2621.4,1.0215100263289982,2621.4,1.0215100263289982,55848,21.762909876562862,0.24771679877223876
2026-07-01,MJ-0465,漫剧品牌G-账号-0465,CUST-001,客户主体A,漫剧品牌G,248820,4850,2507.56759,2507.46,0.01949200225062294,10.077837754199823,0.5170242453608248,0.0,0.0,2590.58,1.0331047547157044,2590.58,1.0331047547157044,63737,25.41785922508274,0.25615706132947513
2026-07-01,MJ-0501,漫剧品牌G-账号-0501,CUST-001,客户主体A,漫剧品牌G,267801,10816,2391.85607,2391.72,0.04038819869978081,8.931468030365831,0.22114053901627218,0.0,0.0,2539.67,1.0617988397604545,2539.67,1.0617988397604545,66370,27.748325174097957,0.24783327918865128
2026-07-01,MJ-0101,漫剧品牌C-账号-0101,CUST-001,客户主体A,漫剧品牌C,233722,3728,2390.70189,2390.6,0.01595057375856787,10.228826939697589,0.6412826958154506,0.0,0.0,2538.43,1.0617927775177356,2538.44,1.0617969603897373,55230,23.10200206517593,0.2363063810852209
